INFO 2024-11-28 15:31:41,367 consumers WebSocket connection closed: admin
INFO 2024-11-28 15:31:41,529 consumers New WebSocket connection: admin
INFO 2024-11-28 15:31:41,531 consumers New WebSocket connection: admin
INFO 2024-11-28 15:31:41,532 consumers WebSocket connection closed: admin
INFO 2024-11-28 15:32:42,469 consumers WebSocket connection closed: admin
INFO 2024-11-28 15:32:42,525 consumers New WebSocket connection: admin
INFO 2024-11-28 15:32:42,530 consumers WebSocket connection closed: admin
INFO 2024-11-28 15:32:42,546 consumers New WebSocket connection: admin
INFO 2024-11-28 15:33:09,824 consumers WebSocket connection closed: admin
INFO 2024-11-28 15:33:09,883 consumers New WebSocket connection: admin
INFO 2024-11-28 15:33:09,885 consumers New WebSocket connection: admin
INFO 2024-11-28 15:33:09,887 consumers WebSocket connection closed: admin
INFO 2024-11-28 15:33:16,022 consumers WebSocket connection closed: admin
INFO 2024-11-28 15:33:16,079 views AttendanceRecord does not exist
INFO 2024-11-28 15:33:16,084 consumers New WebSocket connection: admin
INFO 2024-11-28 15:33:16,099 views AttendanceRecord does not exist
INFO 2024-11-28 15:33:16,101 consumers WebSocket connection closed: admin
INFO 2024-11-28 15:33:16,103 consumers New WebSocket connection: admin
INFO 2024-11-28 15:33:19,651 models Late employee: 873.0
INFO 2024-11-28 15:33:23,722 consumers WebSocket connection closed: admin
INFO 2024-11-28 15:33:23,837 consumers New WebSocket connection: admin
INFO 2024-11-28 15:33:23,839 consumers New WebSocket connection: admin
INFO 2024-11-28 15:33:23,841 consumers WebSocket connection closed: admin
INFO 2024-11-28 15:34:14,935 consumers WebSocket connection closed: admin
INFO 2024-11-28 15:34:15,011 consumers New WebSocket connection: admin
INFO 2024-11-28 15:34:15,013 consumers New WebSocket connection: admin
INFO 2024-11-28 15:34:15,014 consumers WebSocket connection closed: admin
INFO 2024-11-28 15:34:23,421 consumers WebSocket connection closed: admin
INFO 2024-11-28 15:34:23,506 consumers New WebSocket connection: admin
INFO 2024-11-28 15:34:23,524 consumers WebSocket connection closed: admin
INFO 2024-11-28 15:34:23,526 consumers New WebSocket connection: admin
INFO 2024-11-28 16:29:24,094 consumers New WebSocket connection: admin
INFO 2024-11-28 16:29:34,518 consumers New WebSocket connection: admin
INFO 2024-11-28 16:29:34,520 consumers New WebSocket connection: admin
INFO 2024-11-28 16:29:34,523 consumers WebSocket connection closed: admin
INFO 2024-11-28 16:37:55,768 consumers New WebSocket connection: 
INFO 2024-11-28 16:37:55,770 consumers New WebSocket connection: 
INFO 2024-11-28 16:37:55,771 consumers WebSocket connection closed: 
INFO 2024-11-28 16:37:55,773 consumers WebSocket connection closed: 
INFO 2024-11-28 16:39:34,068 consumers WebSocket connection closed: admin
INFO 2024-11-28 16:47:36,162 consumers New WebSocket connection: admin
INFO 2024-11-28 16:47:36,164 consumers New WebSocket connection: admin
INFO 2024-11-28 16:47:36,176 consumers WebSocket connection closed: admin
INFO 2024-11-28 16:48:31,937 consumers New WebSocket connection: admin
INFO 2024-11-28 16:48:31,939 consumers WebSocket connection closed: admin
INFO 2024-11-28 16:48:31,965 consumers New WebSocket connection: admin
INFO 2024-11-28 16:48:40,583 consumers WebSocket connection closed: admin
INFO 2024-11-28 16:48:40,707 views AttendanceRecord does not exist
INFO 2024-11-28 16:48:40,739 consumers New WebSocket connection: admin
INFO 2024-11-28 16:48:40,741 consumers New WebSocket connection: admin
INFO 2024-11-28 16:48:40,744 consumers WebSocket connection closed: admin
INFO 2024-11-28 16:48:40,765 views AttendanceRecord does not exist
INFO 2024-11-28 16:48:45,627 models Late employee: 948.0
INFO 2024-11-28 16:48:51,089 consumers WebSocket connection closed: admin
INFO 2024-11-28 16:48:51,207 consumers New WebSocket connection: admin
INFO 2024-11-28 16:49:23,457 consumers New WebSocket connection: admin
INFO 2024-11-28 16:49:23,460 consumers New WebSocket connection: admin
INFO 2024-11-28 16:49:23,463 consumers WebSocket connection closed: admin
INFO 2024-11-28 16:49:34,337 consumers New WebSocket connection: admin
INFO 2024-11-28 16:49:46,093 consumers WebSocket connection closed: admin
INFO 2024-11-28 16:49:46,098 consumers WebSocket connection closed: admin
INFO 2024-11-28 16:59:33,803 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:17:53,728 consumers New WebSocket connection: admin
INFO 2024-11-28 17:17:53,737 consumers New WebSocket connection: admin
INFO 2024-11-28 17:17:53,740 consumers New WebSocket connection: admin
INFO 2024-11-28 17:17:53,741 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:21:51,958 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:21:51,959 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:21:52,185 consumers New WebSocket connection: admin
INFO 2024-11-28 17:21:52,190 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:21:52,219 consumers New WebSocket connection: admin
INFO 2024-11-28 17:21:52,264 consumers New WebSocket connection: admin
INFO 2024-11-28 17:39:00,529 consumers WebSocket connection closed: admin
